Electoral division,Demographic classification,State or territory
Adelaide,Inner Metropolitan,South Australia
Aston,Outer Metropolitan,Victoria
Ballarat,Provincial,Victoria
Banks,Inner Metropolitan,New South Wales
Barker,Rural,South Australia
Barton,Inner Metropolitan,New South Wales
Bass,Provincial,Tasmania
Bean,Inner Metropolitan,ACT
Bendigo,Provincial,Victoria
Bennelong,Inner Metropolitan,New South Wales
Berowra,Outer Metropolitan,New South Wales
Blair,Provincial,Queensland
Blaxland,Inner Metropolitan,New South Wales
Bonner,Outer Metropolitan,Queensland
Boothby,Outer Metropolitan,South Australia
Bowman,Outer Metropolitan,Queensland
Braddon,Rural,Tasmania
Bradfield,Inner Metropolitan,New South Wales
Brand,Outer Metropolitan,Western Australia
Brisbane,Inner Metropolitan,Queensland
Bruce,Outer Metropolitan,Victoria
Burt,Outer Metropolitan,Western Australia
Calare,Rural,New South Wales
Calwell,Outer Metropolitan,Victoria
Canberra,Inner Metropolitan,ACT
Canning,Outer Metropolitan,Western Australia
Capricornia,Provincial,Queensland
Casey,Rural,Victoria
Chifley,Outer Metropolitan,New South Wales
Chisholm,Inner Metropolitan,Victoria
Clark,Inner Metropolitan,Tasmania
Cook,Inner Metropolitan,New South Wales
Cooper,Inner Metropolitan,Victoria
Corangamite,Provincial,Victoria
Corio,Provincial,Victoria
Cowan,Outer Metropolitan,Western Australia
Cowper,Provincial,New South Wales
Cunningham,Provincial,New South Wales
Curtin,Inner Metropolitan,Western Australia
Dawson,Rural,Queensland
Deakin,Outer Metropolitan,Victoria
Dickson,Outer Metropolitan,Queensland
Dobell,Provincial,New South Wales
Dunkley,Outer Metropolitan,Victoria
Durack,Rural,Western Australia
Eden-Monaro,Rural,New South Wales
Fadden,Outer Metropolitan,Queensland
Fairfax,Rural,Queensland
Farrer,Rural,New South Wales
Fenner,Inner Metropolitan,ACT
Fisher,Rural,Queensland
Flinders,Rural,Victoria
Flynn,Rural,Queensland
Forde,Outer Metropolitan,Queensland
Forrest,Rural,Western Australia
Fowler,Outer Metropolitan,New South Wales
Franklin,Outer Metropolitan,Tasmania
Fraser,Outer Metropolitan,Victoria
Fremantle,Inner Metropolitan,Western Australia
Gellibrand,Inner Metropolitan,Victoria
Gilmore,Rural,New South Wales
Gippsland,Rural,Victoria
Goldstein,Inner Metropolitan,Victoria
Gorton,Outer Metropolitan,Victoria
Grayndler,Inner Metropolitan,New South Wales
Greenway,Outer Metropolitan,New South Wales
Grey,Rural,South Australia
Griffith,Inner Metropolitan,Queensland
Groom,Provincial,Queensland
Hasluck,Outer Metropolitan,Western Australia
Herbert,Provincial,Queensland
Higgins,Inner Metropolitan,Victoria
Hindmarsh,Inner Metropolitan,South Australia
Hinkler,Provincial,Queensland
Holt,Outer Metropolitan,Victoria
Hotham,Inner Metropolitan,Victoria
Hughes,Outer Metropolitan,New South Wales
Hume,Provincial,New South Wales
Hunter,Rural,New South Wales
Indi,Rural,Victoria
Isaacs,Outer Metropolitan,Victoria
Jagajaga,Inner Metropolitan,Victoria
Kennedy,Rural,Queensland
Kingsford Smith,Inner Metropolitan,New South Wales
Kingston,Outer Metropolitan,South Australia
Kooyong,Inner Metropolitan,Victoria
La Trobe,Outer Metropolitan,Victoria
Lalor,Outer Metropolitan,Victoria
Leichhardt,Rural,Queensland
Lilley,Inner Metropolitan,Queensland
Lindsay,Outer Metropolitan,New South Wales
Lingiari,Rural,NT
Longman,Provincial,Queensland
Lyne,Rural,New South Wales
Lyons,Rural,Tasmania
Macarthur,Outer Metropolitan,New South Wales
Mackellar,Outer Metropolitan,New South Wales
Macnamara,Inner Metropolitan,Victoria
Macquarie,Provincial,New South Wales
Makin,Outer Metropolitan,South Australia
Mallee,Rural,Victoria
Maranoa,Rural,Queensland
Maribyrnong,Inner Metropolitan,Victoria
Mayo,Rural,South Australia
McEwen,Rural,Victoria
McMahon,Outer Metropolitan,New South Wales
McPherson,Provincial,Queensland
Melbourne,Inner Metropolitan,Victoria
Menzies,Outer Metropolitan,Victoria
Mitchell,Outer Metropolitan,New South Wales
Monash,Rural,Victoria
Moncrieff,Provincial,Queensland
Moore,Outer Metropolitan,Western Australia
Moreton,Inner Metropolitan,Queensland
New England,Rural,New South Wales
Newcastle,Provincial,New South Wales
Nicholls,Rural,Victoria
North Sydney,Inner Metropolitan,New South Wales
O'Connor,Rural,Western Australia
Oxley,Outer Metropolitan,Queensland
Page,Rural,New South Wales
Parkes,Rural,New South Wales
Parramatta,Inner Metropolitan,New South Wales
Paterson,Provincial,New South Wales
Pearce,Outer Metropolitan,Western Australia
Perth,Inner Metropolitan,Western Australia
Petrie,Outer Metropolitan,Queensland
Rankin,Outer Metropolitan,Queensland
Reid,Inner Metropolitan,New South Wales
Richmond,Rural,New South Wales
Riverina,Rural,New South Wales
Robertson,Provincial,New South Wales
Ryan,Outer Metropolitan,Queensland
Scullin,Outer Metropolitan,Victoria
Shortland,Provincial,New South Wales
Solomon,Inner Metropolitan,NT
Spence,Outer Metropolitan,South Australia
Stirling,Inner Metropolitan,Western Australia
Sturt,Inner Metropolitan,South Australia
Swan,Inner Metropolitan,Western Australia
Sydney,Inner Metropolitan,New South Wales
Tangney,Inner Metropolitan,Western Australia
Wannon,Rural,Victoria
Warringah,Inner Metropolitan,New South Wales
Watson,Inner Metropolitan,New South Wales
Wentworth,Inner Metropolitan,New South Wales
Werriwa,Outer Metropolitan,New South Wales
Whitlam,Provincial,New South Wales
Wide Bay,Rural,Queensland
Wills,Inner Metropolitan,Victoria
Wright,Rural,Queensland
